flight_id,year,month,day_of_week,airline,origin_airport,destination_airport,scheduled_departure_hour,flight_distance_km,aircraft_turnaround_delay_min,weather_condition,wind_speed_kmh,airport_congestion_index,arrival_delay_minutes,delay_risk_class
FL100000,2023,7,4,B6,JFK,DEN,2,2393,9.8,Storm,46,87,117,High_Risk
FL100001,2022,8,3,UA,ATL,SEA,11,1447,7.0,Rain,59,99,33,Moderate_Risk
FL100002,2023,8,3,B6,ORD,DEN,4,1900,9.5,Storm,43,93,54,High_Risk
FL100003,2022,2,4,DL,JFK,DFW,5,4159,0.5,Storm,42,61,51,High_Risk
FL100004,2023,5,5,DL,ATL,SFO,8,2485,17.4,Rain,51,27,4,Low_Risk
FL100005,2023,11,5,DL,DEN,ATL,10,3412,2.8,Storm,34,68,51,High_Risk
FL100006,2023,3,4,DL,ORD,JFK,18,4115,38.4,Clear,12,72,43,Moderate_Risk
FL100007,2023,10,4,UA,ATL,LAX,10,1881,9.8,Clear,56,33,2,Low_Risk
FL100008,2022,3,5,B6,JFK,DFW,19,1377,1.2,Clear,56,55,6,Low_Risk
FL100009,2023,1,3,B6,JFK,DFW,11,1257,7.3,Clear,32,96,33,Moderate_Risk
FL100010,2022,2,7,UA,JFK,JFK,23,4132,3.5,Clear,57,87,22,Moderate_Risk
FL100011,2023,10,5,AA,ORD,DFW,0,3390,5.0,Rain,51,78,35,Moderate_Risk
FL100012,2022,5,5,AA,DEN,DFW,7,2748,7.0,Clear,42,31,0,Low_Risk
FL100013,2023,10,5,B6,SFO,ORD,12,1075,5.9,Snow,22,97,46,High_Risk
FL100014,2022,10,6,WN,SEA,SFO,0,2192,5.2,Clear,30,61,8,Low_Risk
FL100015,2022,6,6,DL,DFW,ATL,15,2263,10.4,Clear,7,89,13,Low_Risk
FL100016,2022,11,7,DL,LAX,LAX,23,4472,0.6,Clear,21,38,5,Low_Risk
FL100017,2022,1,1,DL,ORD,DEN,17,2610,1.8,Clear,22,21,-3,Low_Risk
FL100018,2023,6,5,UA,JFK,DFW,13,688,4.5,Rain,44,65,5,Low_Risk
FL100019,2022,5,1,WN,SFO,SFO,3,2832,14.2,Clear,26,72,20,Moderate_Risk
FL100020,2022,2,6,B6,SFO,DEN,23,2681,21.8,Storm,53,96,83,High_Risk
FL100021,2022,2,1,AA,LAX,DEN,5,1941,0.6,Clear,38,97,9,Low_Risk
FL100022,2023,3,3,WN,SEA,DFW,14,2260,5.0,Clear,56,59,5,Low_Risk
FL100023,2023,4,4,UA,DEN,DEN,11,1601,5.5,Clear,10,31,4,Low_Risk
FL100024,2022,6,4,AA,ATL,DEN,21,2045,2.1,Storm,10,67,79,High_Risk
FL100025,2022,1,7,DL,SEA,JFK,4,887,8.7,Clear,48,68,-1,Low_Risk
